AS,IPv4_Num
AS25220,31232
AS28637,31232
AS39116,31232
AS53107,31232
AS7668,31232
AS1069,30976
AS11643,30976
AS32524,30976
AS3550,30976
AS40028,30976
AS51765,30976
AS51852,30976
AS8788,30976
AS15149,30720
AS15366,30720
AS39238,30720
AS49367,30720
AS63911,30720
AS7532,30720
AS24482,30464
AS25720,30464
AS28438,30464
AS39537,30464
AS53055,30464
AS5714,30464
AS13984,30208
AS22903,30208
AS34240,30208
AS36666,30208
AS39122,30208
AS16696,29952
AS209641,29952
AS32400,29952
AS328543,29952
AS34619,29952
AS36012,29952
AS13009,29696
AS138997,29696
AS15699,29696
AS17252,29696
AS199484,29696
AS213122,29696
AS8495,29696
AS10843,29440
AS202656,29440
AS38529,29440
AS3925,29440
AS8554,29440
AS135161,29184
AS19844,29184
AS210756,29184
AS21777,29184
AS29470,29184
AS30962,29184
AS393581,29184
AS63018,29184
AS7819,29184
AS9607,29184
AS11766,28928
AS21385,28928
AS25773,28928
AS328366,28928
AS4434,28928
AS44398,28928
AS7489,28928
AS8311,28928
AS12085,28672
AS12519,28672
AS140641,28672
AS17420,28672
AS29691,28672
AS30092,28672
AS31972,28672
AS61400,28672
AS7226,28672
AS47264,28416
AS53766,28416
AS36295,28160
AS396073,28160
AS4997,28160
AS8636,28160
AS13791,27904
AS205544,27904
AS210079,27904
AS22439,27904
AS3214,27904
AS7465,27904
AS132335,27648
AS18059,27648
AS24875,27648
AS34309,27648
AS41378,27648
AS44486,27648
AS58057,27648
AS59092,27648
AS9311,27648
AS133111,27392
AS14299,27392
AS20645,27392
AS30742,27392
AS45538,27392
AS60721,27392
AS61098,27392
AS12566,27136
AS29014,27136
AS6142,27136
AS7224,27136
AS133800,26880
AS13499,26880
AS17018,26880
AS205207,26880
AS25467,26880
AS34352,26880
AS38496,26880
AS47973,26880
AS7540,26880
AS7677,26880
AS12696,26624
AS134090,26624
AS15919,26624
AS199081,26624
AS22364,26624
AS23342,26624
AS262668,26624
AS28271,26624
AS3742,26624
AS39869,26624
AS41369,26624
AS60175,26624
AS11274,26368
AS139201,26368
AS21737,26368
AS25504,26368
AS38705,26368
AS46558,26368
AS11734,26112
AS12257,26112
AS15456,26112
AS16353,26112
AS197549,26112
AS24085,26112
AS24989,26112
AS34758,26112
AS38220,26112
AS50245,26112
AS8859,26112
AS906,26112
AS20836,25856
AS46636,25856
AS1280,25600
AS136052,25600
AS45839,25600
AS56309,25600
AS63182,25600
AS9989,25600
AS10355,25344
AS26794,25344
AS38611,25344
AS396026,25344
AS53306,25344
AS8455,25344
AS135918,25088
AS1421,25088
AS14955,25088
AS207375,25088
AS29515,25088
AS30827,25088
AS32558,25088
AS33494,25088
AS41678,25088
AS42807,25088
AS64236,25088
AS9193,25088
AS9892,25088
AS11676,24832
AS132827,24832
AS142578,24832
AS197071,24832
AS21013,24832
AS212655,24832
AS23661,24832
AS25148,24832
AS38478,24832
AS39521,24832
AS5552,24832
AS55799,24832
AS9714,24832
AS10160,24576
AS12296,24576
AS12371,24576
AS14445,24576
AS15081,24576
AS15851,24576
AS17950,24576
AS23888,24576
AS263590,24576
AS263740,24576
AS30295,24576
AS3254,24576
AS327693,24576
AS34171,24576
AS42049,24576
AS56291,24576
AS9656,24576
AS11802,24320
AS13654,24320
AS20134,24320
AS30517,24320
AS395092,24320
AS44453,24320
AS45474,24320
AS47869,24320
AS50957,24320
AS21342,24064
AS57344,24064
AS7049,24064
AS9022,24064
AS18434,23808
AS204287,23808
AS24446,23808
AS263702,23808
AS27823,23808
AS35625,23808
AS39405,23808
AS41075,23808
AS41497,23808
AS53824,23808
AS58779,23808
AS141883,23552
AS198682,23552
AS31229,23552
AS20385,23296
AS24592,23296
AS34300,23296
AS45577,23296
AS51906,23296
AS139021,23040
AS34949,23040
AS52347,23040
AS54548,23040
AS136950,22784
AS22908,22784
AS28907,22784
AS29951,22784
AS30914,22784
AS32298,22784
AS35444,22784
AS35592,22784
AS132585,22528
AS25098,22528
AS26505,22528
AS3258,22528
AS33695,22528
AS35826,22528
AS36915,22528
AS45287,22528
AS49453,22528
AS57794,22528
AS9211,22528
AS139220,22272
AS44709,22272
AS53016,22272
AS54119,22272
AS7762,22272
AS9208,22272
AS10381,22016
AS140443,22016
AS140766,22016
AS197308,22016
AS33302,22016
AS33554,22016
AS34953,22016
AS38778,22016
AS7086,22016
AS139471,21760
AS19171,21760
AS208864,21760
AS29668,21760
AS32899,21760
AS3361,21760
AS38843,21760
AS42864,21760
AS43515,21760
AS50613,21760
AS63119,21760
AS11506,21504
AS12775,21504
AS132296,21504
AS16503,21504
AS16578,21504
AS206920,21504
AS210334,21504
AS212384,21504
AS26704,21504
AS29141,21504
AS32489,21504
AS34555,21504
AS394437,21504
AS6171,21504
AS10397,21248
AS12406,21248
AS132892,21248
AS17881,21248
AS197730,21248
AS30889,21248
AS37621,21248
AS49594,21248
AS59441,21248
AS11013,20992
AS17826,20992
AS20853,20992
AS25645,20992
AS26978,20992
AS39704,20992
AS40015,20992
AS42160,20992
AS47694,20992
AS49635,20992
AS53292,20992
AS55991,20992
AS60819,20992
AS60976,20992
AS9216,20992
AS12496,20736
AS132813,20736
AS149440,20736
AS18447,20736
AS19257,20736
AS200780,20736
AS21060,20736
AS21341,20736
AS23881,20736
